date,close,volume
,AAPL,AAPL
2015-01-02,24.21489715576172,212818400
2015-01-05,23.532712936401367,257142000
2015-01-06,23.534934997558594,263188400
2015-01-07,23.86495018005371,160423600
2015-01-08,24.781890869140625,237458000
2015-01-09,24.808467864990234,214798000
2015-01-12,24.197172164916992,198603200
2015-01-13,24.41202163696289,268367600
2015-01-14,24.318988800048828,195826400
2015-01-15,23.658967971801758,240056000
2015-01-16,23.475133895874023,314053200
2015-01-20,24.07978630065918,199599600
2015-01-21,24.26361846923828,194303600
2015-01-22,24.894845962524414,215185600
2015-01-23,25.0233097076416,185859200
2015-01-26,25.049882888793945,222460000
2015-01-27,24.172805786132812,382274800
2015-01-28,25.539369583129883,585908400
2015-01-29,26.334497451782227,337745600
2015-01-30,25.949115753173828,334982000
2015-02-02,26.27469825744629,250956400
2015-02-03,26.279125213623047,207662800
2015-02-04,26.480680465698242,280598800
2015-02-05,26.669687271118164,168984800
2015-02-06,26.445096969604492,174826400
2015-02-09,26.620765686035156,155559200
2015-02-10,27.132184982299805,248034000
2015-02-11,27.76813507080078,294247200
2015-02-12,28.119457244873047,297898000
2015-02-13,28.257326126098633,217088800
2015-02-17,28.424091339111328,252609600
2015-02-18,28.621990203857422,179566800
2015-02-19,28.56195831298828,149449600
2015-02-20,28.79543113708496,195793600
2015-02-23,29.573688507080078,283896400
2015-02-24,29.38912582397461,276912400
2015-02-25,28.637557983398438,298846800
2015-02-26,28.999996185302734,365150000
2015-02-27,28.564180374145508,248059200
2015-03-02,28.70425796508789,192386800
2015-03-03,28.764307022094727,151265200
2015-03-04,28.58196258544922,126665200
2015-03-05,28.10835075378418,226068400
2015-03-06,28.150592803955078,291368400
2015-03-09,28.27066421508789,354114000
2015-03-10,27.685871124267578,275426400
2015-03-11,27.18111228942871,275756000
2015-03-12,27.672521591186523,193450800
2015-03-13,27.481287002563477,207309200
2015-03-16,27.783700942993164,143497200
2015-03-17,28.24842643737793,204092400
2015-03-18,28.566408157348633,261083600
2015-03-19,28.3507137298584,183238000
2015-03-20,27.994935989379883,274780400
2015-03-23,28.286231994628906,150838800
2015-03-24,28.170604705810547,131369200
2015-03-25,27.434595108032227,206620800
2015-03-26,27.625825881958008,190291600
2015-03-27,27.40568733215332,158184800
2015-03-30,28.099445343017578,188398800
2015-03-31,27.66807746887207,168362400
2015-04-01,27.6280517578125,162485600
2015-04-02,27.865976333618164,128880400
2015-04-06,28.31736183166504,148776000
2015-04-07,28.019399642944336,140049200
2015-04-08,27.928239822387695,149316800
2015-04-09,28.141695022583008,129936000
