date,close,volume,return,volatility,interest_rate,inflation,unemployment,gdp
2015-01-01,25.949115753173828,5221053600.0,0.003926561587632417,0.02438565764150707,0.11,234.747,5.7,18063.529
2015-02-01,28.564180374145508,4546140800.0,0.005143773989884391,0.012793357240274729,0.11,235.342,5.5,18063.529
2015-03-01,27.66807746887207,4554568400.0,-0.0013568634411035285,0.013794873672388946,0.11,235.976,5.4,18063.529
2015-04-01,27.828168869018555,3984542000.0,0.00034805593985831607,0.01239742182629311,0.12,236.222,5.4,18279.784
2015-05-01,29.089874267578125,3816608400.0,0.002311583515270316,0.013943962719857383,0.12,237.001,5.6,18279.784
2015-06-01,28.006935119628903,3514426800.0,-0.00169863539165227,0.007133708842386801,0.13,237.657,5.3,18279.784
2015-07-01,27.084754943847656,4233122400.0,-0.0014031947889496848,0.015632460702803767,0.13,238.034,5.2,18401.626
2015-08-01,25.291847229003903,6427276400.0,-0.0028944495046619367,0.027477376654702013,0.14,238.033,5.1,18401.626
2015-09-01,24.740074157714844,4826189200.0,-0.0008416383166312361,0.020888896699773195,0.14,237.498,5.0,18401.626
2015-10-01,26.803613662719727,4450048400.0,0.0037735839831408258,0.01626695832382203,0.12,237.733,5.0,18435.137
2015-11-01,26.64803695678711,3002562400.0,-0.0001887063216018614,0.014656544519268422,0.12,238.017,5.1,18435.137
2015-12-01,23.71067237854004,3687660800.0,-0.005183703231502862,0.015252572402928618,0.24,237.761,5.0,18435.137
2016-01-01,21.92662811279297,5087392000.0,-0.0037481207122354383,0.027481367773724594,0.34,237.652,4.8,18525.933
2016-02-01,21.89839744567871,3243450400.0,3.919289180481234e-05,0.014758440297331319,0.38,237.336,4.9,18525.933
2016-03-01,24.684104919433597,2984198400.0,0.005527462042010151,0.012160941208164328,0.36,238.08,5.0,18525.933
2016-04-01,21.23027610778809,3489534800.0,-0.006996663576966404,0.01784149357662157,0.37,238.992,5.1,18711.702
2016-05-01,22.75403594970703,3602686000.0,0.003384853324879996,0.012903503970444803,0.37,239.557,4.8,18711.702
2016-06-01,21.783353805541992,3117990800.0,-0.0019159139754025732,0.011522041041353095,0.38,240.222,4.9,18711.702
2016-07-01,23.74522018432617,2743118400.0,0.004444644980178642,0.016383361208059694,0.39,240.101,4.8,18892.639
2016-08-01,24.306848526000977,2520514000.0,0.0010488753976113133,0.008187116076353486,0.4,240.545,4.9,18892.639
2016-09-01,25.899049758911133,3872062400.0,0.0031568306755111386,0.01662363810584504,0.4,241.176,5.0,18892.639
2016-10-01,26.01129722595215,2747657200.0,0.00023708401895194964,0.008072574656661575,0.4,241.741,4.9,19089.379
